Line Item,2023,2022,Category,Confidence
(,1.0,2.0,Other,0.4
Balance Sheet. (,2.0,2.0,Other,0.4
Company’s derivative contracts,0.0,24.0,Other,0.4
"of September 24,",2022.0,0.0,Other,0.4
effects of collateral,0.0,7.8,Other,0.4
of $7.8 billion,0.0,412.0,Other,0.4
as of September,30.0,2023.0,Other,0.4
2023 and September,24.0,2022.0,Other,0.4
