0,1,2
Other current and non-current assets,"(1,457)","(4,099)"
Accounts payable,"(4,542)","(6,075)"
Other current and non-current liabilities,"(3,865)","3,889"
Cash generated by operating activities,"39,895","34,005"
sting activities:,nan,nan
Purchases of marketable securities,"(9,780)","(5,153)"
