0,1,2,3,4
nan,nan,"December 30,",nan,"December 31,"
nan,nan,2023,nan,2022
Numerator:,nan,nan,nan,nan
Net income,$,"33,916",$,"29,998"
Denominator:,nan,nan,nan,nan
Weighted-average basic shares outstanding,nan,"15,509,763",nan,"15,892,723"
Effect of dilutive share-based awards,nan,"66,878",nan,"62,995"
Weighted-average diluted shares,nan,"15,576,641",nan,"15,955,718"
Basic earnings per share,$,2.19,$,1.89
Diluted earnings per share,$,2.18,$,1.88
