0,1,2,3,4
nan,nan,"December 30,",nan,"December 31,"
nan,nan,2023,nan,2022
ricas:,nan,nan,nan,nan
Net sales,$,"50,430",$,"49,278"
Operating income,$,"20,357",$,"17,864"
pe:,nan,nan,nan,nan
Net sales,$,"30,397",$,"27,681"
Operating income,$,"12,711",$,"10,017"
ter China:,nan,nan,nan,nan
Net sales,$,"20,819",$,"23,905"
Operating income,$,"8,622",$,"10,437"
n:,nan,nan,nan,nan
Net sales,$,"7,767",$,"6,755"
Operating income,$,"3,819",$,"3,236"
of Asia Pacific:,nan,nan,nan,nan
Net sales,$,"10,162",$,"9,535"
Operating income,$,"4,579",$,"3,851"
