0,1,2,3,4,5
nan,nan,"December 30,",nan,"December 31,",nan
nan,nan,2023,nan,2022,Change
ales by category:,nan,nan,nan,nan,nan
iPhone,$,"69,702",$,"65,775",6 %
Mac,nan,"7,780",nan,"7,735",1 %
iPad,nan,"7,023",nan,"9,396",(25)%
"Wearables, Home and Accessories",nan,"11,953",nan,"13,482",(11)%
Services,nan,"23,117",nan,"20,766",11 %
Total net sales,$,"119,575",$,"117,154",2 %
