0,1,2,3,4,5
nan,nan,"December 30,",nan,"December 31,",nan
nan,nan,2023,nan,2022,Change
ales by reportable segment:,nan,nan,nan,nan,nan
Americas,$,"50,430",$,"49,278",2 %
Europe,nan,"30,397",nan,"27,681",10 %
Greater China,nan,"20,819",nan,"23,905",(13)%
Japan,nan,"7,767",nan,"6,755",15 %
Rest of Asia Pacific,nan,"10,162",nan,"9,535",7 %
Total net sales,$,"119,575",$,"117,154",2 %
