0,1,2,3,4
nan,nan,"December 30,",nan,"December 31,"
nan,nan,2023,nan,2022
"Total shareholders’ equity, beginning balances",$,"62,146",$,"50,672"
Common stock and additional paid-in capital:,nan,nan,nan,nan
Beginning balances,nan,"73,812",nan,"64,849"
Common stock withheld related to net share settlement of equity awards,nan,"(1,660)",nan,"(1,434)"
Share-based compensation,nan,"3,084",nan,"2,984"
Ending balances,nan,"75,236",nan,"66,399"
Retained earnings/(Accumulated deficit):,nan,nan,nan,nan
Beginning balances,nan,(214),nan,"(3,068)"
Net income,nan,"33,916",nan,"29,998"
