Line Item,2025,2024,2023,Category,Confidence,Parent Item
Operating cash flows from operating leases,2052.0,1829.0,1670.0,Operating,0.4,"In millions) Year Ended June 30, Cash paid for amounts included in the measurement of lease liabilities"
Operating cash flows from operating leases,2052.0,0.0,0.0,Operating,0.4,"In millions) Year Ended June 30, Cash paid for amounts included in the measurement of lease liabilities"
Operating leases,438036772303.0,0.0,0.0,Operating,0.4,Operating cash flows from finance leases Financing cash flows from finance leases Right-of-use assets obtained in exchange for lease obligations
