Line Item,2022,Category,Confidence
Year Ended June,30.0,Other,0.2
Hedged items,50.0,Other,0.2
Excluded from effectiveness assessment Interest rate contracts Derivatives,65.0,Other,0.2
Hedged items Designated as Cash Flow Hedging Instruments Foreign exchange contracts Amount reclassified from accumulated other comprehensive income,79.0,Revenue,0.2
Not Designated as Hedging Instruments Foreign exchange contracts,73.0,Other,0.2
Equity contracts,420.0,Other,0.2
