Line Item,2019,Category,Confidence
Year Ended June,30.0,Other,0.2
Net Designated as Fair Value Hedging Instruments Foreign exchange contracts Derivatives,130.0,Net Income,0.2
Hedged items,188.0,Other,0.2
Excluded from effectiveness assessment Interest rate contracts Derivatives,37.0,Other,0.2
Hedged items,93.0,Other,0.2
Designated as Cash Flow Hedging Instruments Foreign exchange contracts Amount reclassified from accumulated other comprehensive income Excluded from effectiveness assessment,64.0,Revenue,0.2
Not Designated as Hedging Instruments Foreign exchange contracts,123.0,Other,0.2
