Line Item,2024,2020,2018,Category,Confidence
value. See Note,14.0,14.0,2018.0,Other,0.4
Convertible Notes due,2024.0,8.0,14.0,Other,0.4
"to September 14,",2020.0,0.0,0.0,Other,0.4
