Line Item,2025,2024,2023,Category,Confidence,Parent Item
"Realized net gain reclassified into equity in earnings of non-consolidated entities, net of tax ​ — ​ (0.9) ​ — ​ — ​",0.9,0.0,0.0,Net Income,0.7,"Unrealized net holding gain arising during the period, net of tax ​ — ​ 0.7 ​ — ​ — ​ 0.7 Realized net gain reclassified into net investment income, net of tax ​ — ​ (0.4) ​ — ​ — ​ (0.4) Equity method investee's cash flow hedge"
Other comprehensive income ​ 128.1 ​ 128.1 ​ 112.1 ​ (240.2) ​,128.1,0.0,0.0,Revenue,0.4,"Unrealized net holding gain arising during the period, net of tax ​ — ​ 0.7 ​ — ​ — ​ 0.7 Realized net gain reclassified into net investment income, net of tax ​ — ​ (0.4) ​ — ​ — ​ (0.4) Equity method investee's cash flow hedge"
