Line Item,2019,2018,2017,Category,Confidence
Operations ​ December,31.0,2019.0,31.0,Other,0.4
"​ December 31,",2018.0,31.0,2017.0,Other,0.4
revenue,22.4,20.1,23.3,Revenue,0.7
revenue,3.6,6.5,5.7,Revenue,0.7
costs ​ ​,13.6,12.9,12.5,Cost,0.4
revenue,15.6,15.1,14.0,Revenue,0.7
