Line Item,2019,2018,Category,Confidence
Hedge Total Balance,0.0,31.0,Other,0.4
"Balance, December 31,",2018.0,7.2,Other,0.4
$7.2 ​ $(,1.8,0.1,Other,0.4
​ $0.1 ​,5.5,16.5,Other,0.4
(16.5) ​ (,15.5,0.1,Other,0.4
(0.1) ​ (,32.1,0.5,Other,0.4
​ — ​,0.5,0.0,Other,0.4
"​ Balance, December",31.0,2019.0,Other,0.4
2019 ​ $(,8.8,17.3,Other,0.4
$— ​ $(,26.1,0.0,Other,0.4
